"id","city_id","name"
93,3,Torbali
105,4,Mustafakemalpaşa
116,5,Döşemealti
128,5,Manavgat
139,6,Pozanti
148,7,Gerger
153,7,Si̇nci̇k
155,8,Başmakçi
165,8,İhsani̇ye
174,9,Doğubayazit
186,10,Ortaköy
199,12,Hanak
223,14,Kuyucak
232,15,Bi̇gadi̇ç
245,15,Savaştepe
256,17,Merkez
267,19,Söğüt
277,21,Adi̇lcevaz
291,22,Seben
302,23,Tefenni̇
304,24,Ayvacik
305,24,Bayrami̇ç
306,24,Bi̇ga
307,24,Bozcaada
316,25,Atkaracalar
327,25,Yaprakli
340,26,Sungurlu
349,27,Çal
359,27,Seri̇nhi̇sar
375,28,Si̇lvan
384,29,Merkez
395,31,Ağin
406,32,Çayirli
416,33,Azi̇zi̇ye
437,34,Çi̇fteler
446,34,Seyi̇tgazi̇
458,36,Alucra
459,36,Bulancak
460,36,Çamoluk
461,36,Çanakçi
462,36,Dereli̇
463,36,Doğankent
464,36,Espi̇ye
471,36,Şebi̇nkarahi̇sar
490,39,Dörtyol
501,40,Karakoyunlu
512,41,Seni̇rkent
521,42,Eki̇nözü
534,44,Ayranci
547,45,Susuz
569,47,Bünyan
580,47,Talas
591,49,Deli̇ce
600,50,Lüleburgaz
612,52,Başi̇skele
615,52,Deri̇nce
616,52,Di̇lovasi
617,52,Gebze
619,52,İzmi̇t
628,53,Beyşehi̇r
639,53,Hadi̇m
665,54,Şaphane
678,55,Pütürge
685,56,Gölmarmara
696,56,Turgutlu
707,57,Yeşi̇lli̇
717,58,Si̇li̇fke
726,59,Köyceği̇z
738,60,Merkez
747,61,Ürgüp
758,63,Çatalpinar
768,63,Kumru
769,63,Mesudi̇ye
770,63,Perşembe
771,63,Ulubey
772,63,Ünye
781,65,Çamlihemşi̇n
794,66,Ari̇fi̇ye
806,66,Söğütlü
819,67,Ladi̇k
828,68,Ceylanpinar
837,68,Vi̇ranşehi̇r
852,70,Saraydüzü
867,72,Gürün
878,73,Çerkezköy
891,74,Başçi̇ftli̇k
904,75,Beşi̇kdüzü
917,75,Vakfikebi̇r
927,77,Banaz
928,77,Eşme
929,77,Karahalli
930,77,Merkez
931,77,Si̇vasli
932,77,Ulubey
933,78,Bahçesaray
934,78,Başkale
935,78,Çaldiran
936,78,Çatak
938,78,Erci̇ş
939,78,Gevaş
940,78,Gürpinar
941,78,İpekyolu
942,78,Muradi̇ye
943,78,Özalp
944,78,Saray
945,78,Tuşba
946,79,Altinova
947,79,Armutlu
949,79,Çinarcik
950,79,Merkez
951,79,Termal
952,80,Akdağmadeni̇
953,80,Aydincik
954,80,Boğazliyan
955,80,Çandir
956,80,Çayiralan
957,80,Çekerek
958,80,Kadişehri̇
959,80,Merkez
960,80,Saraykent
961,80,Sarikaya
963,80,Sorgun
964,80,Yeni̇fakili
965,80,Yerköy
966,81,Alapli
967,81,Çaycuma
968,81,Devrek
969,81,Ereğli̇
970,81,Gökçebey
971,81,Ki̇li̇mli̇
972,81,Kozlu
973,81,Merkez
19,1,Eyüpsultan
32,1,Si̇li̇vri̇
1,1,Adalar
924,76,Ovacik
925,76,Pertek
926,76,Pülümür
937,78,Edremi̇t
948,79,Çi̇ftli̇kköy
962,80,Şefaatli̇
6,1,Bahçeli̇evler
